status,category,topic,style,favorite,channel_url,channel_id
active,A Man Walks About Describing Things,history / geography,walkabout,favorite,http://www.youtube.com/@DimeStoreAdventures,UCUMQFUkgaEE68_ujIdW2wAw
active,A Man Walks About Describing Things,,walkabout,,http://www.youtube.com/@TomScottGo,UCBa659QWEk1AI4Tg--mrJ2A
active,A Man Walks About Describing Things,physical science,walkabout,,http://www.youtube.com/@AtomicFrontier,UCbCq5Y0WPGimG2jNXhoQxGw
active,A Man Walks About Describing Things,history / geography,walkabout,favorite,http://www.youtube.com/@JayForeman,UCbbQalJ4OaC0oQ0AqRaOJ9g
active,A Man Walks About Describing Things,history / geography,walkabout,favorite,http://www.youtube.com/@TheTimTraveller,UC2LVhJH_9cT2XKp0VAfsKOQ
active,A Man Walks About Describing Things,history / geography,walkabout,favorite,http://www.youtube.com/@RobWords,UC4a9LfdavRlVMaSSWFdIciA
active,Math,math,,favorite,http://www.youtube.com/@3blue1brown,UCYO_jab_esuFRV4b17AJtAw
active,Math,math,talking head,,http://www.youtube.com/@numberphile,UCoxcjq-8xIDTYp3uz647V5A
active,Math,math,talking head,,http://www.youtube.com/@standupmaths,UCSju5G2aFaWMqn-_0YBtq5A
active,Math,math,,,http://www.youtube.com/@Reducible,UCK8XIGR5kRidIw2fWqwyHRA
active,Math,math,show and tell,,http://www.youtube.com/@henryseg,UC4zzTEL5tuIgGMvzjk1Ozbg
active,Math,math,talking head,,http://www.youtube.com/@upandatom,UCSIvk78tK2TiviLQn4fSHaw
active,Math,math,show and tell,,http://www.youtube.com/@GeorgeHart-math,UCTl0dASnxto6j2wlVs5Bs2Q
active,Math,math,talking head,,https://www.youtube.com/@tibees,UC52kszkc08-acFOuogFl5jw
active,Math,math,,,https://www.youtube.com/@chalktalkmath/,UCUv35okF8MSo2dFQx5LrNmA
active,Media Commentary,media / pop culture,review,,http://www.youtube.com/@RedLetterMedia,UCrTNhL_yO3tPTdQ5XgmmWjA
active,Media Commentary,media / pop culture,,,http://www.youtube.com/@CaptainDisillusion,UCEOXxzW2vU0P-0THehuIIeg
active,Media Commentary,media / pop culture,talking head,,http://www.youtube.com/@JennyNicholson,UC7-E5xhZBZdW-8d7V80mzfg
active,Media Commentary,media / pop culture,talking head,favorite,http://www.youtube.com/@RealVirtualFrog,UCZXAVdAplsu1tFZ9OqQhJFg
active,Media Commentary,media / pop culture,talking head,,http://www.youtube.com/@any_austin,UCH_7doiCkWeq0v3ycWE5lDw
active,Media Commentary,media / pop culture,talking head,,http://www.youtube.com/@JillBearup,UCRrvZqCL1YsqRA8IpXrhYQQ
active,Media Commentary,history / geography,talking head,,http://www.youtube.com/@lindybeige,UC9pgQfOXRsp4UKrI8q0zjXQ
active,Media Commentary,media / pop culture,chaotic,,http://www.youtube.com/@LetsGameItOut,UCto7D1L-MiRoOziCXK9uT5Q
active,Media Commentary,media / pop culture,talking head,,http://www.youtube.com/@DougDoug,UClyGlKOhDUooPJFy4v_mqPg
active,Media Commentary,media / pop culture,talking head,,http://www.youtube.com/@Danny-Gonzalez,UCSUf5_EPEfl4zlBKZHkZdmw
active,Media Commentary,media / pop culture,talking head,,http://www.youtube.com/@drewisgooden,UCTSRIY3GLFYIpkR2QwyeklA
active,Food and Cookery,food,talking head,,http://www.youtube.com/@aragusea,UC9_p50tH3WmMslWRWKnM7dQ
active,Food and Cookery,food,talking head,,http://www.youtube.com/@TastingHistory,UCsaGKqPZnGp_7N80hcHySGQ
active,Food and Cookery,food,,,http://www.youtube.com/@babishculinaryuniverse,UCJHA_jMfCvEnv-3kRjTCQXw
active,Food and Cookery,food,,,http://www.youtube.com/@foodwishes,UCRIZtPl9nb9RiXc9btSTQNw
active,Food and Cookery,food,chaotic,,http://www.youtube.com/@OrdinarySausage,UCJLKwTg0IaSMoq6hLHT3CAA
active,Food and Cookery,food,,,http://www.youtube.com/@townsends,UCxr2d4As312LulcajAkKJYw
active,The Fan Fandom,fans,,,http://www.youtube.com/@matthiasrandomstuff2221,UC3_AWXcf2K3l9ILVuQe-XwQ
active,The Fan Fandom,fans,,,http://www.youtube.com/@MajorHardware,UCUXW4gT27TOaDzKFyN-1tXQ
active,The Fan Fandom,fans,,,http://www.youtube.com/@ThinkingandTinkering,UC4AkVj-qnJxNtKuz3rkq16A
active,The Fan Fandom,fans,,,http://www.youtube.com/@TnTOmnibus,UC1E8OmOG17VckoPviOPmkMw
active,The Fan Fandom,fans,show and tell,,http://www.youtube.com/@bigclivedotcom,UCtM5z2gkrGRuWd0JQMx76qA
active,The Fan Fandom,fans,,,http://www.youtube.com/@PlasmaChannel,UCg45A-ph7Eu8jQgfrwDkHLg
active,Knick Knacks and Thingamajigs,history / geography,show and tell,,http://www.youtube.com/@ObjectivityVideos,UCtwKon9qMt5YLVgQt1tvJKg
active,Knick Knacks and Thingamajigs,media / pop culture,show and tell,,http://www.youtube.com/@ashens,UCxt9Pvye-9x_AIcb1UtmF1Q
active,Knick Knacks and Thingamajigs,toys and games,show and tell,,http://www.youtube.com/@grandillusions,UCnmgSO_4g6QcRzy0yFeglyA
active,Knick Knacks and Thingamajigs,social science,talking head,,http://www.youtube.com/@JJMcCullough,UCyhOl6uRlxryALlT5yifldw
active,Knick Knacks and Thingamajigs,tech,,favorite,http://www.youtube.com/@PosyMusic,UCmEmX_jw_pRp5UbAdzkZq-g
active,Knick Knacks and Thingamajigs,tech,,,http://www.youtube.com/@lazyposy,UCfZwJg0C0P-xX7BicmwVKqw
active,Knick Knacks and Thingamajigs,making things,,,http://www.youtube.com/@mitxela,UCeEf90AEmmxaQs5BUkHqR3Q
active,Knick Knacks and Thingamajigs,history / geography,show and tell,,http://www.youtube.com/@ObjectHistory,UC7hlBf8aKs1OFNWEdWsveFA
active,Knick Knacks and Thingamajigs,tech,show and tell,,http://www.youtube.com/@DankPods,UC7Jwj9fkrf1adN4fMmTkpug
active,Knick Knacks and Thingamajigs,tech,show and tell,,http://www.youtube.com/@Games_for_James,UCx6cailiCkg_mlMM7JX5yfA
