category,topic,style,favorite,channel_url,channel_id,author,title,video_id,date,tags
history / geography,history / geography,walkabout,favorite,http://www.youtube.com/@DimeStoreAdventures,UCUMQFUkgaEE68_ujIdW2wAw,Dime Store Adventures,Let's Just Start With This Crack In The Sidewalk,BYeRdhJOjbs,2026-08-01T01:23:32+00:00,history / geography;walkabout;favorite
,,walkabout,,http://www.youtube.com/@TomScottGo,UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,I get excited about &.,8IsbKH-EsAY,2026-07-27T15:00:32+00:00,walkabout
physical science,physical science,walkabout,,http://www.youtube.com/@AtomicFrontier,UCbCq5Y0WPGimG2jNXhoQxGw,Atomic Frontier,The Space Propulsion Tier List,KnLUxrLPSMk,2026-01-25T21:03:04+00:00,physical science;walkabout
history / geography,history / geography,walkabout,favorite,http://www.youtube.com/@JayForeman,UCbbQalJ4OaC0oQ0AqRaOJ9g,Map Men,Where do hills come from?,6zq5XtyV3yg,2026-06-29T16:18:53+00:00,history / geography;walkabout;favorite
history / geography,history / geography,walkabout,favorite,http://www.youtube.com/@TheTimTraveller,UC2LVhJH_9cT2XKp0VAfsKOQ,The Tim Traveller,"I Visited Europe's Highest Football Ground (And Predictably, The Views Are Stunning)",uE0C7mgliUw,2026-07-30T19:00:23+00:00,history / geography;walkabout;favorite
history / geography,history / geography,walkabout,favorite,http://www.youtube.com/@RobWords,UC4a9LfdavRlVMaSSWFdIciA,RobWords,Why we don't have a sarcasm mark,OcPynSc1lyI,2026-07-25T13:00:05+00:00,history / geography;walkabout;favorite
math,math,,favorite,http://www.youtube.com/@3blue1brown,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,The 64 sugar cubes puzzle,6XPlmCDNLNc,2026-07-24T15:05:39+00:00,math;favorite
math,math,talking head,,http://www.youtube.com/@numberphile,UCoxcjq-8xIDTYp3uz647V5A,Numberphile,The Mountain Climbing Theorem - Numberphile,JEPqrqNqkHw,2026-07-28T14:00:08+00:00,math;talking head
math,math,talking head,,http://www.youtube.com/@standupmaths,UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths,Has an AI discovered new maths?,ZJ8KThKAfbs,2026-07-06T16:25:01+00:00,math;talking head
math,math,,,http://www.youtube.com/@Reducible,UCK8XIGR5kRidIw2fWqwyHRA,Reducible,A* Search: How Your Map Applications Find Shortest Routes,88I6IidylGc,2024-07-27T01:04:19+00:00,math
math,math,show and tell,,http://www.youtube.com/@henryseg,UC4zzTEL5tuIgGMvzjk1Ozbg,Henry Segerman,Morphing mechanisms,T9BNMLFHXUw,2026-04-18T14:00:56+00:00,math;show and tell
math,math,talking head,,http://www.youtube.com/@upandatom,UCSIvk78tK2TiviLQn4fSHaw,Up and Atom,"Something strange happens when you ""bump the base""",XUDkQA7cVWI,2026-06-18T17:02:31+00:00,math;talking head
math,math,show and tell,,http://www.youtube.com/@GeorgeHart-math,UCTl0dASnxto6j2wlVs5Bs2Q,George Hart,Quadratic Whisper,tVwVJ6zW6jk,2026-01-19T22:55:25+00:00,math;show and tell
math,math,talking head,,https://www.youtube.com/@tibees,UC52kszkc08-acFOuogFl5jw,Tibees,The exam causing chaos in India right now,RWiKLBkCJQk,2026-07-17T17:09:58+00:00,math;talking head
math,math,,,https://www.youtube.com/@chalktalkmath/,UCUv35okF8MSo2dFQx5LrNmA,Chalk Talk,The fairness puzzle that sparked probability,_YRfSe-f1FE,2025-09-02T17:26:31+00:00,math
media / pop culture,media / pop culture,review,,http://www.youtube.com/@RedLetterMedia,UCrTNhL_yO3tPTdQ5XgmmWjA,RedLetterMedia,Best of the Worst: Cannon Christmas in July,u_XUeggOCXA,2026-07-29T17:08:27+00:00,media / pop culture;review
media / pop culture,media / pop culture,,,http://www.youtube.com/@CaptainDisillusion,UCEOXxzW2vU0P-0THehuIIeg,Captain Disillusion,Captain's Alan's Digital Spaghetti's Movie Club,CVqG6wHUY6M,2026-07-21T14:46:13+00:00,media / pop culture
media / pop culture,media / pop culture,talking head,,http://www.youtube.com/@JennyNicholson,UC7-E5xhZBZdW-8d7V80mzfg,Jenny Nicholson,My Favorite Twilight Knockoff,-Gq1P2aaDqM,2026-03-21T19:27:41+00:00,media / pop culture;talking head
media / pop culture,media / pop culture,talking head,favorite,http://www.youtube.com/@RealVirtualFrog,UCZXAVdAplsu1tFZ9OqQhJFg,Virtual Frog,The Arrow | Single Player Teaser | Wishlist Trailer,o9-w9CBttM0,2026-07-20T02:37:06+00:00,media / pop culture;talking head;favorite
media / pop culture,media / pop culture,talking head,,http://www.youtube.com/@any_austin,UCH_7doiCkWeq0v3ycWE5lDw,Any Austin,GTA: San Andreas Really Takes You Places,VRj9HGZp6UY,2026-07-15T18:44:29+00:00,media / pop culture;talking head
media / pop culture,media / pop culture,talking head,,http://www.youtube.com/@JillBearup,UCRrvZqCL1YsqRA8IpXrhYQQ,Jill Bearup,Jill vs. 🤖The Machines🤖: eBay Edition,ROATahKaIy0,2026-07-24T16:06:22+00:00,media / pop culture;talking head
history / geography,history / geography,talking head,,http://www.youtube.com/@lindybeige,UC9pgQfOXRsp4UKrI8q0zjXQ,Lindybeige,Several points about The Odyssey,K7h-0GUgDzk,2026-07-29T09:00:31+00:00,history / geography;talking head
media / pop culture,media / pop culture,chaotic,,http://www.youtube.com/@LetsGameItOut,UCto7D1L-MiRoOziCXK9uT5Q,Let's Game It Out,I Made My Absurdly Tall Factory Also Uncomfortably Wide - Satisfactory,s6n_7-d--VE,2026-07-19T14:54:26+00:00,media / pop culture;chaotic
media / pop culture,media / pop culture,talking head,,http://www.youtube.com/@DougDoug,UClyGlKOhDUooPJFy4v_mqPg,DougDoug,Thanks for 7 years of DougDoug,2Fo4UejU6oE,2025-12-19T20:03:00+00:00,media / pop culture;talking head
media / pop culture,media / pop culture,talking head,,http://www.youtube.com/@Danny-Gonzalez,UCSUf5_EPEfl4zlBKZHkZdmw,Danny Gonzalez,the weirdest houses on zillow,AlVDStqqSfM,2026-06-26T17:30:06+00:00,media / pop culture;talking head
